Dart Count: 1000
Random Count: 1000
Used trapezoid count: 1000


x^2
##############
Run,Dart Value,Dart Time,Mean Value,Mean Time,Trapezoid Value,Trapezoid Time
0,347.0,23192538,324.20541266530364,3355194,333.33349999999996,3625359
1,351.99999999999994,820939,310.14551690794974,508534,333.33349999999996,603974
2,353.0,690655,328.4051578444391,496919,333.33349999999996,667704
3,323.0,812964,336.8240841492851,477015,333.33349999999996,566158
4,325.0,844011,318.0877982590205,686427,333.33349999999996,594195
5,338.00000000000006,781305,324.76678015517325,593813,333.33349999999996,597090
6,326.0,739587,346.5035140651034,720091,333.33349999999996,465529
7,333.0,720114,336.4157890907204,462632,333.33349999999996,418227
8,326.0,720402,343.9166647085676,450204,333.33349999999996,429583
9,343.0,611341,349.1861948114559,433543,333.33349999999996,417779


x * sin(x)
##############
Run,Dart Value,Dart Time,Mean Value,Mean Time,Trapezoid Value,Trapezoid Time
0,30.705000000000005,690008,8.572326117222795,458703,7.846619723599265,458932
1,30.438000000000006,684375,7.562268536114836,435789,7.846619723599265,498781
2,31.639500000000005,683809,6.913410833964237,426606,7.846619723599265,463938
3,26.967000000000002,894163,5.337929947843359,414431,7.846619723599265,465403
4,29.904000000000007,649992,8.756706162985923,411887,7.846619723599265,506276
5,30.571500000000004,693431,6.9547967550584335,381286,7.846619723599265,532618
6,30.438000000000006,611748,7.68138904126557,374858,7.846619723599265,540242
7,26.967000000000002,532519,7.831523291723035,396222,7.846619723599265,514253
8,31.239000000000008,609793,7.393112148271919,426452,7.846619723599265,524852
9,28.7025,643985,7.624487416490563,397669,7.846619723599265,568594


-5x^³ + 582x² - 521
##############
Run,Dart Value,Dart Time,Mean Value,Mean Time,Trapezoid Value,Trapezoid Time
0,184072.0,715910,178964.12255532865,429541,176290.0845,617955
1,178752.00000000003,604013,180116.30689906736,402725,176290.0845,528082
2,181944.00000000003,645484,181643.6507037335,376126,176290.0845,574904
3,176624.00000000003,731200,176101.16347301,384470,176290.0845,519172
4,163856.0,762434,176459.84454459097,376424,176290.0845,514110
5,161196.0,560781,175938.4683775394,390102,176290.0845,507821
6,172900.0,528148,185950.74001625224,380082,176290.0845,490377
7,176092.0,653842,175799.07794125171,406103,176290.0845,464235
8,174496.0,598030,185833.2268266183,350927,176290.0845,534099
9,180348.0,559851,180030.53096374928,334864,176290.0845,474625
