Dart Count: 1000
Random Count: 1000
Used trapezoid count: 100


x^2
##############
Run,Dart Value,Dart Time,Mean Value,Mean Time,Trapezoid Value,Trapezoid Time
0,347.99999999999994,8787855,336.4102419286362,2578534,333.35,2533292
1,347.99999999999994,907715,329.8887490187868,557268,333.35,482263
2,325.0,754057,340.54279808473154,540073,333.35,371943
3,328.0,734496,335.38456126552376,526847,333.35,317062
4,316.0,834753,327.60454103368363,438299,333.35,303802
5,357.0,789945,320.8305224415717,440032,333.35,562498
6,367.0,760283,334.97194050956983,394796,333.35,280332
7,321.0,727017,347.2214719078802,404343,333.35,255124
8,336.00000000000006,645778,332.78806758113944,444488,333.35,309325
9,336.00000000000006,650749,331.83895516600137,425699,333.35,298331


x * sin(x)
##############
Run,Dart Value,Dart Time,Mean Value,Mean Time,Trapezoid Value,Trapezoid Time
0,28.73,706298,7.9589052064500665,436439,7.839247173786999,218827
1,29.120000000000005,743021,8.706855240878372,365021,7.839247173786999,213794
2,28.99,694769,7.352143275593528,423891,7.839247173786999,168120
3,31.46,742500,7.294426564543945,546487,7.839247173786999,171696
4,29.900000000000002,695351,8.906264736431254,347353,7.839247173786999,187452
5,30.810000000000002,711421,7.889142123168793,406817,7.839247173786999,169146
6,29.25,650369,8.671968778023668,387836,7.839247173786999,181247
7,31.72,721991,7.36636825001015,445965,7.839247173786999,215602
8,31.2,695409,7.428132062665305,434923,7.839247173786999,213112
9,29.380000000000003,743964,8.653719012163965,411173,7.839247173786999,169219


-5x^³ + 582x² - 521
##############
Run,Dart Value,Dart Time,Mean Value,Mean Time,Trapezoid Value,Trapezoid Time
0,177156.0,748246,175674.14358431534,423046,176298.45,164341
1,194712.0,743893,179697.6402170392,450058,176298.45,169454
2,177156.0,748967,179102.53781513227,441741,176298.45,152682
3,179284.0,709860,174351.55058980218,398548,176298.45,161288
4,179816.00000000003,786884,177419.964095839,407351,176298.45,149189
5,167580.0,742499,179426.93734505575,402027,176298.45,194765
6,168112.0,702104,179470.49487027444,435431,176298.45,147981
7,173964.0,721863,180161.51630557972,418254,176298.45,150717
8,178752.00000000003,745722,180931.72067353758,409861,176298.45,143191
9,178752.00000000003,741079,170635.98380341075,412867,176298.45,135937
